frame,t_s,kind,tid,x_cm,y_cm
120,4.0,verde,1,72.0,27.5
120,4.0,balon,-1,122.0,149.0
121,4.033,verde,1,72.5,26.0
121,4.033,balon,-1,125.0,151.0
122,4.067,verde,1,73.0,24.0
122,4.067,balon,-1,127.5,152.5
123,4.1,verde,1,74.0,23.0
123,4.1,balon,-1,130.0,155.0
124,4.133,verde,1,74.0,22.0
124,4.133,balon,-1,132.5,157.0
125,4.167,verde,1,74.5,20.5
125,4.167,balon,-1,134.0,158.0
126,4.2,verde,1,75.0,18.5
126,4.2,balon,-1,136.5,160.0
127,4.233,verde,1,75.0,16.0
127,4.233,balon,-1,138.0,162.0
128,4.267,verde,1,75.5,14.5
128,4.267,oscuro,2,143.0,175.0
128,4.267,balon,-1,139.5,164.0
129,4.3,verde,1,76.0,12.5
129,4.3,oscuro,2,144.5,177.0
129,4.3,balon,-1,141.5,166.0
130,4.333,verde,1,76.5,10.5
130,4.333,balon,-1,144.0,168.0
131,4.367,verde,1,76.5,8.0
131,4.367,balon,-1,146.0,170.0
132,4.4,verde,1,76.5,6.5
132,4.4,balon,-1,148.0,172.0
133,4.433,verde,1,77.0,4.5
133,4.433,balon,-1,150.0,173.0
134,4.467,verde,1,77.0,2.5
134,4.467,oscuro,2,154.0,185.5
134,4.467,balon,-1,151.0,174.5
135,4.5,verde,1,77.0,1.0
135,4.5,oscuro,2,155.0,186.5
135,4.5,balon,-1,152.0,176.0
148,4.933,balon,-1,44.5,246.0
149,4.967,verde,3,76.5,53.0
149,4.967,verde,4,88.5,151.5
149,4.967,balon,-1,45.0,246.5
150,5.0,verde,3,76.5,52.5
150,5.0,verde,4,88.5,151.0
150,5.0,balon,-1,45.0,246.5
151,5.033,verde,3,76.5,53.0
151,5.033,verde,5,75.5,107.5
151,5.033,verde,4,88.0,149.5
151,5.033,balon,-1,45.0,246.5
152,5.067,verde,3,76.0,53.5
152,5.067,verde,4,87.5,148.0
152,5.067,verde,5,76.0,107.5
152,5.067,balon,-1,45.5,247.0
153,5.1,verde,3,75.5,53.5
153,5.1,verde,4,87.0,145.5
153,5.1,verde,5,76.0,108.0
153,5.1,balon,-1,46.0,246.5
154,5.133,verde,3,74.5,55.0
154,5.133,verde,5,75.5,109.0
154,5.133,verde,4,86.5,143.5
154,5.133,balon,-1,50.5,246.0
155,5.167,verde,3,74.0,56.5
155,5.167,verde,5,75.5,110.0
155,5.167,verde,4,86.0,141.5
155,5.167,balon,-1,47.5,246.0
156,5.2,verde,5,75.5,111.0
156,5.2,verde,3,73.5,57.5
156,5.2,oscuro,4,85.5,139.0
156,5.2,balon,-1,48.5,245.5
157,5.233,verde,5,75.5,112.5
157,5.233,verde,3,73.0,59.5
157,5.233,oscuro,4,85.0,136.5
157,5.233,balon,-1,53.0,246.0
158,5.267,verde,5,75.5,113.0
158,5.267,verde,3,72.5,59.5
158,5.267,oscuro,4,84.5,134.5
