epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4999,0.97065,1.69258,2.94352,0.9381,0,0.01699,0.65442,0.43805,0.35013,0.01737,0.75277,0.43489,0.37879,0.64001,0.82467,3.25725,0.81267,0,0.00041441,0.00041441,0.00041441
2,27.5605,0.69382,0.95919,1.39493,0.84658,0,0.0137,0.62631,0.5624,0.46943,0.01402,0.67234,0.55342,0.49284,0.67069,1.1066,3.06181,0.84654,0,0.000832677,0.000832677,0.000832677
3,36.4083,0.69278,0.81371,1.17889,0.86701,0,0.99245,0.19727,0.86544,0.72397,0.99245,0.19727,0.86523,0.62613,0.63676,0.79651,2.62081,0.83292,0,0.00124033,0.00124033,0.00124033
4,44.8395,0.64079,0.80739,1.08429,0.84891,0,0.85838,0.73278,0.89099,0.74256,0.85572,0.7299,0.89091,0.65543,0.56425,0.66421,1.4486,0.80503,0,0.00137595,0.00137595,0.00137595
5,54.7977,0.59638,0.68502,1.07006,0.83859,0,0.75364,0.78429,0.88948,0.76006,0.75106,0.78142,0.88785,0.67903,0.51992,0.63933,0.97258,0.79127,0,0.00135826,0.00135826,0.00135826
6,64.3968,0.58943,0.64402,0.94865,0.84367,0,0.9021,0.91362,0.95535,0.83613,0.89949,0.91074,0.95534,0.74213,0.5093,0.63962,0.87642,0.7946,0,0.00134058,0.00134058,0.00134058
7,74.73,0.58862,0.71115,0.84977,0.83567,0,0.92227,0.93533,0.96635,0.81623,0.91952,0.93246,0.96525,0.75326,0.51519,0.59506,0.73499,0.79443,0,0.0013229,0.0013229,0.0013229
8,84.8025,0.544,0.63125,0.8164,0.83027,0,0.91643,0.97684,0.97756,0.86724,0.91372,0.97397,0.97756,0.77029,0.46506,0.58516,0.68196,0.78489,0,0.00130521,0.00130521,0.00130521
9,95.1452,0.51978,0.6185,0.73642,0.82117,0,0.9087,0.94232,0.96138,0.84969,0.90602,0.93945,0.96138,0.7365,0.44713,0.55822,0.71154,0.78177,0,0.00128753,0.00128753,0.00128753
10,105.403,0.51723,0.61415,0.74925,0.82567,0,0.85775,0.9837,0.96059,0.84344,0.85775,0.9837,0.96059,0.74071,0.44333,0.57067,0.6709,0.78693,0,0.00126985,0.00126985,0.00126985
