epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5244,1.10166,1.64121,2.0712,1.23352,0,0.8914,0.81104,0.83923,0.68795,0.88938,0.80906,0.81036,0.61328,0.80501,0.76578,1.19155,1.0923,0,0.000467827,0.000467827,0.000467827
2,42.027,0.88923,0.90245,1.15446,1.1145,0,0.85648,0.83598,0.83868,0.68656,0.85648,0.83598,0.80465,0.60224,0.83015,0.84895,1.12836,1.10749,0,0.000934814,0.000934814,0.000934814
3,65.2253,0.8847,0.97908,1.12886,1.11782,0,0.89067,0.8329,0.86848,0.70118,0.89355,0.7935,0.82019,0.61504,0.80785,0.81398,1.4527,1.10585,0,0.00139237,0.00139237,0.00139237
4,91.1505,0.93562,0.87385,1.34698,1.21002,0,0.90149,0.82006,0.82736,0.6638,0.90149,0.82006,0.81704,0.61403,0.84051,0.82786,1.15023,1.24436,0,0.00138656,0.00138656,0.00138656
5,117.421,0.91072,0.82738,1.09605,1.17614,0,0.89886,0.80672,0.83886,0.67825,0.89886,0.80672,0.81635,0.60911,0.80866,0.77143,1.10378,1.17681,0,0.00137241,0.00137241,0.00137241
6,144.287,0.84437,0.77816,1.0058,1.14516,0,0.87192,0.83533,0.84793,0.72192,0.86974,0.83334,0.81206,0.6351,0.7143,0.65652,0.94024,1.11542,0,0.00135826,0.00135826,0.00135826
7,179.291,0.82444,0.77963,0.97166,1.11145,0,0.86575,0.84775,0.88352,0.72881,0.85985,0.84179,0.83345,0.62775,0.67211,0.7357,0.8374,1.0791,0,0.00134412,0.00134412,0.00134412
8,220.888,0.81666,0.79093,0.94739,1.10024,0,0.88833,0.83352,0.87733,0.71978,0.88397,0.82351,0.83337,0.63782,0.71092,0.65868,0.93603,1.08989,0,0.00132997,0.00132997,0.00132997
9,261.83,0.76003,0.79335,0.86538,1.06353,0,0.85758,0.85578,0.87991,0.76578,0.89871,0.81187,0.82863,0.6469,0.60983,0.68062,0.74592,1.0437,0,0.00131582,0.00131582,0.00131582
10,302.89,0.72581,0.70182,0.85399,1.05475,0,0.85993,0.84098,0.87844,0.75447,0.85356,0.83503,0.82173,0.62204,0.61787,0.5914,0.81822,1.05488,0,0.00130168,0.00130168,0.00130168
11,343.826,0.72587,0.71349,0.82006,1.05,0,0.87469,0.84544,0.8918,0.75439,0.86846,0.83948,0.8345,0.63817,0.63856,0.60766,0.73257,1.05904,0,0.00128753,0.00128753,0.00128753
12,387.41,0.73546,0.72718,0.81416,1.04705,0,0.87092,0.83866,0.85713,0.73577,0.91761,0.78866,0.82467,0.62569,0.64849,0.65483,0.95854,1.06916,0,0.00127338,0.00127338,0.00127338
13,427.437,0.73476,0.73816,0.84641,1.06211,0,0.92968,0.81438,0.88177,0.7478,0.92968,0.81438,0.83203,0.63706,0.61445,0.59476,0.7138,1.03166,0,0.00125923,0.00125923,0.00125923
14,469.553,0.66959,0.6607,0.76801,1.02771,0,0.88473,0.82066,0.86759,0.74389,0.88473,0.82066,0.82505,0.62554,0.61342,0.64846,1.09683,1.03125,0,0.00124509,0.00124509,0.00124509
